# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2227
#@/user_id	c286c5d4-02d2-4839-a588-e8f68a470b72
a 	啊	c=2 d=0.440935 t=2227
a li 	阿里	c=1 d=0.579842 t=2227
a li yun 	阿里雲	c=1 d=0.606531 t=2227
ai 	愛	c=2 d=0.0193668 t=2227
ai dou 	愛豆	c=1 d=0.124307 t=2227
ai hao 	愛好	c=1 d=0.126186 t=2227
ai ni 	愛你	c=2 d=0.0259822 t=2227
an zhuang 	安裝	c=3 d=0.600496 t=2227
ao gu si ding 	奧古斯丁	c=3 d=0.0102425 t=2227
ba 	把	c=5 d=0.794534 t=2227
ba na ma 	巴拿馬	c=1 d=0.0536647 t=2227
ba zi 	靶子	c=1 d=0.308819 t=2227
bai ban 	白斑	c=1 d=0.396531 t=2227
bai du 	百度	c=0 d=0.012307 t=2227
bai du yun 	百度雲	c=1 d=0.123687 t=2227
bang cheng 	磅秤	c=1 d=0.215456 t=2227
bang di 	邦迪	c=1 d=0.00223168 t=2227
bao 	包	c=1 d=1 t=2207
bao cun 	保存	c=4 d=0.856971 t=2227
bao da 	暴打	c=1 d=0.0773047 t=2227
bao fa 	爆發	c=1 d=0.394554 t=2227
bao hu 	保護	c=3 d=0.969231 t=2227
bao shou 	保守	c=3 d=0.991384 t=2227
bao wei 	包圍	c=1 d=0.148823 t=2227
bao zhe 	包着	c=1 d=0.0437178 t=2227
bei 	被	c=4 d=0.341078 t=2227
bei dong 	被動	c=1 d=0.035437 t=2227
bei shu 	倍數	c=1 d=0.67368 t=2227
ben 	本	c=0 d=0.1 t=2214
ben guo 	本國	c=0 d=0.000217658 t=2227
ben guo de 	本國的	c=1 d=0.00218749 t=2227
ben zhi 	本質	c=3 d=0.0160192 t=2227
beng dai 	繃帶	c=1 d=0.00238156 t=2227
bi jiao 	比較	c=1 d=0.324652 t=2227
bi li chi 	比例尺	c=3 d=0.636814 t=2227
bi xu 	必須	c=1 d=0.0349094 t=2227
bian 	變	c=1 d=1 t=2226
bian ji 	遍及	c=1 d=0.0395575 t=2227
biao 	表	c=6 d=0.656987 t=2227
biao da 	表達	c=1 d=0.67032 t=2227
biao du 	標度	c=1 d=0.213312 t=2227
biao ji 	標記	c=1 d=0.00241755 t=2227
biao qian 	標籤	c=1 d=0.0485578 t=2227
biao qing 	表情	c=1 d=1 t=2227
biao shi 	表示	c=6 d=1.37206 t=2227
biao yan 	表演	c=3 d=0.921867 t=2227
bie 	別	c=3 d=0.074963 t=2227
bin 	賓	c=4 d=0.0255383 t=2227
bin yu 	賓語	c=6 d=0.0693738 t=2227
bing 	並	c=1 d=0.625002 t=2227
bing 	冰	c=1 d=0.036334 t=2227
bing qi lin 	冰淇淋	c=1 d=0.0366992 t=2227
bing ren 	病人	c=1 d=0.529935 t=2227
bo pian 	薄片	c=1 d=0.037068 t=2227
bo zi 	跛子	c=3 d=0.142562 t=2227
bu 	不	c=11 d=2.03332 t=2227
bu deng shi 	不等式	c=1 d=0.0623495 t=2227
bu fen 	部分	c=4 d=0.0539871 t=2227
bu gong ping 	不公平	c=1 d=0.0620385 t=2227
bu guan xi 	不關係	c=1 d=0.0930145 t=2227
bu guan xin 	不關心	c=1 d=0.0902655 t=2227
bu hui 	不會	c=2 d=0.0504617 t=2227
bu ji ji 	不積極	c=1 d=0.0948935 t=2227
bu jian 	不見	c=1 d=0.00186406 t=2227
bu jian 	部件	c=2 d=0.00376563 t=2227
bu jin 	不僅	c=0 d=0.00939493 t=2227
bu jin ji ji 	不僅積極	c=1 d=0.0944202 t=2227
bu ke yi 	不可以	c=1 d=0.0328764 t=2227
bu man 	不滿	c=1 d=0.548812 t=2227
